Episode,Reward
0,-208.23593744402098
1,-103.66438855212074
2,-102.74078412713818
3,-115.45082340718979
4,-198.55721081338402
5,-346.3374576607897
6,-91.82837564632744
7,-74.65051588916528
8,-188.20002779044512
9,-458.60787567697
10,-84.77360654987064
11,-322.3307288057274
12,-20.08670759162183
13,-155.30751213675757
14,-286.67190322267896
15,-331.8334053488926
16,-96.66676871171343
17,-206.06847249877106
18,-195.44951406666746
19,-83.19842516999766
20,-78.5465223586257
21,-213.88232109001555
22,-219.7228224298733
23,-167.3014887540327
24,-161.08472629034526
25,-126.95885178191853
26,-196.66191942040456
27,-122.05010230958364
28,-345.1890304042747
29,-101.62018665944747
30,-207.77349829326698
31,-268.36516636703016
32,-182.13811421410514
33,-341.89681700303237
34,-308.54348440265176
35,-208.90114584756049
36,-74.1215999140386
37,-29.50177916229387
38,-271.5356277078969
39,-205.7947430753486
40,-345.8245878575897
41,-58.51679462348485
42,-298.71174981798936
43,-242.30471994170705
44,-198.46759713790107
45,-263.41779407107765
46,-186.82825314032732
47,69.11068771796496
48,-80.66820558499637
49,-91.15050828328629
50,-378.22690251718683
51,-208.17364360531406
52,-99.03758175782177
53,-245.87184529660195
54,-106.99419366620894
55,-133.54979601743645
56,-181.15629602557212
57,-219.08944386439953
58,-235.44695477444355
59,-127.65983012576017
60,-70.52055769016735
61,-184.74000223799234
62,-163.31846801541496
63,-88.61880677417369
64,-308.25060197825326
65,-139.42060426824628
66,-81.69583768305259
67,-287.202382757262
68,-40.417274085260786
69,-98.68037685833899
70,-135.88197939913215
71,-84.53181072409032
72,-156.61706344149832
73,-279.03309568442296
74,-174.83853232593253
75,-174.83703714008882
76,-288.1600690953622
77,-117.0891493647814
78,-122.77046421714837
79,-112.95392595796805
80,-106.94194141470034
81,-119.15523128742376
82,-201.57684531954212
83,-247.20979917469555
84,-82.518688448661
85,-75.21195424081345
86,-96.15985441336134
87,-141.50046907388497
88,-86.70510608101574
89,-84.91234799550651
90,-88.24271599044297
91,-93.8870406849173
92,-237.17314883427554
93,-254.70594049815588
94,-146.93772275342775
95,-71.7809391550741
96,-123.32485996176521
97,-100.47368469965369
98,3.1899877244645864
99,-47.12955497897107
100,-159.0015796354412
101,-101.85852161364762
102,-341.21319346404607
103,-77.5143898817215
104,-72.44946034422492
105,-178.588889652727
106,-144.9362805375125
107,-105.70629148158503
108,-27.701478366185384
