Episode,Reward
0,-78.21008512171878
1,-343.7557565487533
2,-129.45035081803712
3,-86.99033561865679
4,-245.72181261299093
5,-189.54421402817536
6,53.15970454051748
7,-374.84904355884487
8,-84.3761227838709
9,-93.97875742326192
10,-160.69380692018154
11,-175.7637604654413
12,-349.2538284327593
13,-78.12055735511947
14,-159.07357619605045
15,-389.4818744399993
16,-257.6429162846721
17,67.82040607156493
18,-125.55258692408432
19,-99.54185526242725
20,-178.87512276786754
21,-127.46399524930371
22,-222.0946112318837
23,-164.3059910841489
24,-264.1343976024797
25,-109.4444720910051
26,-295.1011982510187
27,-197.1035538732708
28,-358.78487862752036
29,-159.68177210982077
30,-129.3354573651266
31,-211.67759121454074
32,-83.09790485406263
33,-200.22871220933308
34,-52.32158236623235
35,-142.67721735320447
36,-89.82368257534146
37,-382.11681604699953
38,-350.26547351138174
39,-57.189080558329806
40,-243.23076425767147
41,-287.27892886863197
42,-150.15517725507632
43,-46.385093025676184
44,-14.447162600609118
45,-286.9473149476891
46,-271.6972581956042
47,-2.4745613486256417
48,-59.19102045038673
49,-63.44491690138321
50,-166.73534702595504
51,-160.56963992268118
52,-81.87515550426353
53,-293.04296238740693
54,-63.191090380610255
55,-115.10344266907988
56,-399.5097793267267
57,-102.23357924363732
58,-169.10257820372726
59,-219.62083495081433
60,-217.73886415868145
61,-142.25592689289422
62,-68.87085059262111
63,-95.54219839391214
64,-251.30206007991046
65,-201.34620780946358
66,-70.26136314736452
67,-86.29422853660711
68,-125.08553755822388
69,-78.74701281566304
70,-142.58568239632513
71,-231.49647801228383
72,32.68032755242061
73,29.190727912495067
74,-130.51565179744227
75,-122.62144880312985
76,-111.75673632353954
77,-107.80698329048161
78,-193.8968705415114
79,-84.58312770468794
80,-94.96706448045582
81,-86.12622081815344
82,33.211150160810604
83,-25.857178030427917
84,-99.03435868917948
85,-95.7877785109625
86,-133.2359334796071
87,-141.40919810854734
88,-111.21212407219582
89,-209.33090838079647
90,-112.09890392171833
91,-286.5769758164422
92,-140.0563873184099
93,-39.68972501396719
94,-164.99573535784194
95,-62.98483573867644
96,-83.00490378755019
97,-21.0642836202193
98,-22.536970923362233
99,-124.42090825600513
100,-70.22376213768612
101,-37.97892304416
102,-58.48689627366839
103,-34.583198238678634
104,-14.808117142805486
105,-269.51689677313084
106,-83.31426770473155
107,-41.34325621512863
108,8.729585104946855
109,-220.41511548641842
110,-64.46891528060688
111,-1.6880840800750008
112,-2.027561126673305
113,-88.98391304031038
114,30.029073403959757
115,-74.6407917554059
116,-31.918411011943235
117,9.010635679322093
118,19.42765695194531
119,-100.69127738074462
120,-106.13558989414517
121,1.6624262198800182
122,-329.1811463111902
123,20.953735232812775
124,-44.7058472205858
125,-27.533010573363775
126,-203.95828086378808
127,-36.91388119154017
128,-61.764231658686654
129,-141.7827418904477
130,-91.28915957174479
131,-2.918615882703179
132,-28.706994196101675
133,5.426656064159745
134,-74.87280869137942
135,-104.57846550521216
136,-2.0833500432409453
137,-174.51539092866258
138,-140.4600588833237
139,-48.785526695057165
140,-89.14639554610133
141,-72.61031244209389
142,-190.63793333458517
143,-78.55655664661535
144,-106.14094803312724
145,-264.9552824567782
146,-233.80669318578597
147,-147.9258335570657
148,-56.35118992517587
149,-156.47968503165998
150,-122.31339634143335
151,-190.52166692890142
152,-162.09663298031185
153,-119.86867234347288
154,-139.76763112812404
155,-156.203017562344
156,-234.8482599522284
157,-122.09786779958608
158,-29.078804006705262
159,-191.4357214238794
160,-180.291466151642
161,-105.03610417588627
162,-150.4075636819298
163,-167.2751263863641
164,-233.36928988784666
165,-212.75251564247588
166,-95.03617588413655
167,-164.82842297385105
168,-101.89351340964835
169,-93.92707133941833
170,-131.1809231097991
171,-124.8990370968845
172,-164.4936739361949
173,-118.42767851529462
174,-189.01128439892915
175,-58.23784831117946
176,-127.00314403421628
177,-144.31767753771533
178,-100.45902249462821
179,-81.91791527212948
180,-250.31191568778272
181,-103.66237787609313
182,-140.48409552632205
183,-163.2418295964726
184,-155.32115010191222
185,-112.7029560995045
186,-173.04085689185467
187,-153.61713572737725
188,-150.45697602547315
189,-164.6297592900898
190,-142.84487915219242
191,-154.641505528098
192,-245.1737134269501
193,-151.28045802723634
194,-145.91072534745723
195,-127.83806871294006
196,-97.51735444821882
197,-15.11076763142011
198,-152.9345267966255
199,-37.42367780964091
200,-140.98800868057552
201,-93.74206778131935
202,-83.87620145535489
203,-169.56211993667256
204,-108.62744694104062
205,-132.2247225574951
206,-75.83296694762302
207,-195.42555361329937
208,-241.81321034020974
209,-147.98746445715054
210,-180.07373930015876
211,-181.67805524045235
212,-177.64501968797123
213,-173.47851323580323
214,-127.52384857086702
215,-222.4544028375566
216,-210.3860657132189
217,-141.68382023039112
218,-135.54497943739918
219,-240.2262102439627
220,-127.6065211637498
221,-133.25470540449155
222,-67.51824250749786
223,-169.16765613891468
224,-147.18640969269595
225,-97.4316928792569
226,-79.44493196170478
227,-78.90090765425529
228,-97.78261770837094
229,-38.16225883989034
230,-97.54619073410421
231,-84.06564832789661
232,-99.44411504468997
233,-160.39351680076584
234,-70.25262380022285
235,-95.42949024948467
236,-89.50364084873388
237,-145.7788752332574
238,-90.53774485020871
239,-47.30900086287626
240,-105.54010490597848
241,-66.6310435484713
242,-73.42494921323654
243,-55.02029546771894
244,-100.68265881420317
245,-134.14732879134525
246,-242.099720292376
247,-50.540932524641555
248,-120.05301775706877
249,-16.723409163064638
250,-68.32984078282146
251,-73.65810363750192
252,-115.26232060932284
253,-117.9203965440784
254,-83.43609644284956
255,-105.79870206407865
256,-69.62171861671368
257,-125.90767830433064
258,-118.56921561605235
259,-150.0236151038953
260,-109.2267653947079
261,-97.94458356748335
262,-42.91300465182134
263,-73.8762082882667
264,-65.52221131691341
265,-51.56033954557844
266,39.75578765716506
267,-53.60556356379879
268,-103.15446619115966
269,-79.69049824766624
270,-123.25899742650601
271,-70.01995047279372
272,-144.9020614895613
273,-137.27784757247514
274,-90.44870242926493
275,-110.34396169164458
276,-78.92658926839505
277,-19.7289552619847
278,-72.32316317912199
279,-81.52500080785367
280,-45.22211427675918
281,-45.00657997340865
282,-55.26066846219292
283,-87.1514700650402
284,-20.24849532907689
285,-193.79837208206834
286,-54.86148490660341
287,-102.6510468419462
288,-66.4350182007034
289,17.509986338270622
290,-121.83838208146064
291,-82.71185865955098
292,-101.65165346822661
293,-66.16426691223704
294,-3.758926973584042
295,-52.554578626224995
296,-17.34047290713274
297,159.650334627416
298,32.559903705980126
299,-56.89611717798481
300,200.52156388191412
301,186.21526371057524
302,-41.35696502203379
303,-57.27476865632327
304,210.9599253633035
305,-87.2082851437135
306,-82.96293886847837
307,5.283427813361316
308,-76.58312607827035
309,-63.84950123967978
310,162.5238204854324
311,20.80806367504242
312,58.11221904127504
313,42.38086509272625
314,168.20640025931215
315,137.57652697033842
316,-70.80685370723764
317,-41.515625023390264
318,-63.608436758069544
319,-51.06538769123686
320,-41.26076579827761
321,-19.97285520529036
322,-14.609283737179814
323,-34.42691668756951
324,-55.99209222722346
325,-31.921097843144885
326,-27.771662537519546
327,-6.282387384316327
328,3.7986544773489577
329,-70.4626079761178
330,221.54416902860805
331,-10.477553852118769
332,-51.75483656397794
333,-15.980138409247521
334,-107.20229165436253
335,-96.34862420553316
336,-65.2523748430035
337,-40.8394562365344
338,-68.16298414328492
339,198.767710841508
340,58.875899097296355
341,-25.90152111460319
342,-46.83764281907565
343,-33.17258025773083
344,-40.3387149036109
345,-71.83291642454085
346,-8.285344902198444
347,-49.535090969447204
348,-25.266571089116663
349,-72.70325557519445
350,-11.217662254211437
351,-52.19575480043881
352,-59.74833985607475
353,0.6387514804454717
354,-40.22670688056183
355,-35.7388034049787
356,1.0416996915080143
357,-18.171575812652364
358,19.041103704566552
359,-11.261477055634012
360,-50.84043947147236
361,-40.213901151025176
362,-22.294290276023805
363,-5.579379311827368
364,-24.827055263860288
365,-65.46810559127485
366,-34.112712320449326
367,277.5368795261219
368,176.57724437967914
369,-51.388519851891765
370,202.3317209432598
371,-31.823816276309273
372,-70.76378961847199
373,-53.18899263038157
374,-11.237179309161569
375,-38.703973748948954
376,-26.730833123641965
377,156.4124772951138
378,165.58945125712086
379,-27.222178482711392
380,217.9272450854973
381,-50.49508370643867
382,206.93066623260233
383,24.312026214212878
384,180.51487194252095
385,269.2485626672115
386,-13.062084511187877
387,175.09824930914422
388,268.3830309697461
389,-13.859411431960453
390,70.02878885924267
391,11.681076687484747
392,175.13944241597312
393,44.56214809889413
394,54.924479150103195
395,204.7351610734446
396,218.31855340405235
397,-550.3916954063118
398,-35.10809135280341
399,-24.472825382504976
400,253.6519790842353
401,201.68140033933074
402,-42.24211648398312
403,250.0411269162827
404,-70.13667789407586
405,2.611200973310802
406,209.11292283231265
407,-41.314961750713564
408,193.41887655794352
409,238.457029740154
410,190.49679587522533
411,259.7895107296906
412,27.54986393879591
413,180.6607426423763
414,245.1561772301442
415,147.23974344642698
416,49.91989812860734
417,260.04275630555503
418,85.23385151464035
419,246.5667511395815
420,-64.92055510241258
421,197.2926513469851
422,17.610369878864006
423,65.75903384387979
424,104.52398120603885
425,270.62864423388964
426,57.29208624674746
427,316.03999357123377
428,5.212466984742932
429,205.29789997656226
430,281.71903209816094
431,-24.372953295390122
432,-0.4421804616917253
433,204.8644134309692
434,250.9746944162078
435,267.1288285045034
436,277.74446733267524
437,-50.33505429807138
438,131.1589954292939
439,-44.74292090780146
440,275.5780683270524
441,-99.84690713775363
442,-75.07885342233068
443,184.346147064102
444,-34.96893233841836
445,244.23489463892474
446,247.47786101338028
447,262.0150537571651
448,50.70123405777915
449,181.98412361703183
450,254.11220938321787
451,191.68571201220144
452,241.00802823958568
453,245.98894808672256
454,225.68277386235013
455,231.26604047699266
456,192.84636518359298
457,205.58500058961494
458,256.4244928023463
459,-24.653219274910924
460,273.07228071254315
461,175.10185205337694
462,256.3120165578747
463,142.46572519137732
464,226.69213444396146
465,135.9027290329243
466,41.473754016192004
467,247.71679423402645
468,141.79639621683336
469,250.88301878054764
470,266.4252260580202
471,211.25652798138316
472,223.13871992757868
473,251.92979686920768
474,226.0991918829137
475,172.94636139950453
476,255.29634981098627
477,193.27877691052518
478,172.19962605757604
479,148.4100763029819
480,168.36768251647356
481,238.97291098782725
482,-37.4648909957404
483,262.879755014299
484,238.513152547215
485,166.49826643607395
486,159.38972102158846
487,171.14191451251867
488,245.75043111129582
489,139.40737918600428
490,151.78217174673821
491,202.55621377606838
492,145.23417667245164
493,191.07358169253484
494,153.0749035748213
495,230.96883605074973
496,168.4029032195996
497,207.74707151341
498,205.769486635909
499,208.576742615424
500,223.0583193307736
501,236.58874810017667
502,241.18259176831933
503,279.7457036664695
504,25.350901608779935
505,153.31575164128316
506,191.49706868803327
507,288.07930193350694
508,152.40325939851922
509,213.72308904095888
510,231.3360002055049
511,-234.42790731498337
512,166.34003857954139
513,-7.730235278992197
514,192.61706663086636
515,206.09795865794595
516,215.41095716634885
517,210.7351206383754
518,228.44598939950316
519,180.9255805736802
520,247.72413102569328
521,188.68004071534608
522,253.9670389532377
523,-67.05168214597556
524,167.44964142530773
525,-458.5622203880249
526,232.37629441940285
527,259.83589359659265
528,244.32489921522247
529,276.91191326858717
530,271.66902851817065
531,215.4331407356111
532,225.0938806078713
533,-153.9550764912476
534,226.99161096760318
535,233.79979094697103
536,209.16666557047552
537,206.43636197533797
538,253.91488494784846
539,248.1409007220283
540,272.2225756066452
541,223.53396960155135
542,-373.2944889696739
543,-264.33314132406014
544,246.11234337639758
545,165.47940226124194
546,207.78948344529346
547,170.25534705871726
548,225.71488413854547
549,224.8277891272653
550,144.30286456514483
551,157.0754262884196
552,241.89956152725716
553,-171.192647650619
554,273.8508831564203
555,252.69754702695496
556,252.68040619632927
557,254.6835268351122
558,227.30310881887095
559,241.96776690314456
560,210.00398636721863
561,207.7003776946815
562,235.8157764459896
563,278.7331623164433
564,221.7970934057725
565,238.55179866375585
566,288.7932691914149
567,108.06964868921882
568,258.7078028792124
569,253.70911091233145
570,252.32267520745455
571,248.35286413107923
572,236.78339530690292
573,243.97185890436265
574,272.5453026623855
575,224.94413000102023
576,283.80778086627913
577,259.3452074416196
578,207.9463294267241
579,268.17018246320424
580,295.9465015953206
581,278.9912403008723
582,216.05607820474665
583,268.567532730537
584,274.56778493951697
585,244.63200337081
586,226.07486106057468
587,276.6260985921228
588,271.5309547927075
589,271.0025454975775
590,254.67276026153095
591,263.3471894572697
592,244.26252863711704
593,-47.051509020021726
594,250.63256953390407
595,288.98235563126644
596,272.93350269128337
597,296.0815184590703
598,287.2036789807046
599,274.6359369205881
600,277.05674432555475
601,304.54069314111865
602,261.6816849869026
603,250.30230153565057
604,49.81430008726173
605,286.45380653093594
606,225.41963031094065
607,243.96599052590904
608,239.53123168267143
609,289.79747918224024
610,-160.47838639659844
611,291.928949182617
612,234.68427601646556
613,266.7685058873042
614,236.7482313684165
615,267.59099882982764
616,309.73370091992103
617,215.43486548490296
618,226.91489599648833
619,188.10945364715025
620,47.13920486988937
621,245.69613353550733
622,245.80804162186266
623,264.8688354254341
624,295.1824173820769
625,279.4543155021691
626,17.660159861999603
627,272.2914280156825
628,254.5917725530307
629,-225.48715343479634
630,257.69995475595454
631,279.7490542847445
632,43.36080159129659
633,264.37402770410625
634,242.63804610651366
635,213.71012516556448
636,249.78279193563966
637,270.30739172716903
638,27.60180641423787
639,208.35419511763791
640,257.4533532146761
641,298.1685290667382
642,17.796195199841875
643,260.9934145393455
644,256.7315702021673
645,281.9207107734735
646,266.34851185810936
647,278.8051179041139
648,237.58051010279885
649,244.62259308952315
650,282.4382482717197
651,281.1640427516719
652,29.237263671949364
653,48.33044528405969
654,251.2618310481932
655,266.5870750889428
656,273.2667549394189
657,273.34070212490957
658,250.05858550788827
659,261.7190876597698
660,244.31967128024058
661,287.2855284181692
662,232.18520802989391
663,243.9818936467903
664,273.50974892582633
665,-215.120083475181
666,0.574847847699516
667,280.3909224100776
668,15.060663986804727
669,4.605436052994392
670,260.07423059035375
671,287.2596138616582
672,274.04747295030757
673,19.010439236940513
674,278.0102211927008
675,238.79656893685757
676,27.87301861583117
677,295.8403219538387
678,255.5188664178705
679,295.8577675372198
