Episode,Reward
0,-132.88810286887053
1,-257.65487191496413
2,-375.1170391544206
3,-69.67172758754853
4,-95.00209102793063
5,-324.3985195675817
6,-76.97893143405469
7,-213.13435878686406
8,-119.83144106603162
9,-94.2218957970432
10,-457.0639531181725
11,-111.39205388748947
12,-156.83615430700664
13,-161.11030479654897
14,-89.24540815177161
15,-334.00773301648707
16,-330.2944424326862
17,-102.18488781542135
18,-119.44404980326516
19,-149.16989696318385
20,-221.24448474065258
21,-144.1811760529
22,-248.01257050654453
23,-250.2343964245192
24,-134.22210176382515
25,-142.0229746545897
26,-307.83933273949094
27,-196.97452478518332
28,-274.2381196585357
29,-102.87834686850942
30,-176.37771418720268
31,-202.1122870460232
32,-178.75349026778014
33,-120.44988247898348
34,-19.772269096934636
35,-142.92520816997282
36,-176.40198679467704
37,-56.337929460930475
38,-114.17478410017472
39,-150.5937060578499
40,-169.0269180311193
41,-293.7491983253327
42,-235.72377663862324
43,-250.2173943831221
44,-315.3731810013014
45,-77.492718052991
46,-110.16760083703264
47,-182.06502021172582
48,-112.69811586621468
49,-119.15253494759698
50,-310.17606388852164
51,-77.34360659279508
52,-135.19608857479017
53,-29.86636736461753
54,-149.1993479701826
55,-263.33757656947364
56,-253.9860127539127
57,-261.9506218834423
58,-159.02159336575897
59,-178.39099990363997
60,-62.88069570283331
61,-112.73681138406815
62,-149.3317154256785
63,-154.41621474229714
64,-90.5710372698133
65,-206.86293459732934
66,-135.74359369609888
67,-241.44434606206414
68,-210.25925635303116
69,-168.2857009529688
70,-49.30234912169776
71,-177.93451288548528
72,-48.57559125387901
73,-192.03638847612257
74,-0.498057524549381
75,-265.3831469152718
76,-176.2597966504129
77,-261.28905356792393
78,-78.51584721377183
79,-191.6817670389119
80,-141.53342955085904
81,-111.55500825764906
82,0.36709178637887874
83,-174.6720038666139
84,-82.30662988083435
85,-15.3965368870509
86,-140.73508049216295
87,-335.5161237847116
88,-136.46562303090136
89,-119.93642278260994
90,-174.73847994088686
91,-313.8172890225658
92,-116.8133614944739
93,-340.15252448625995
94,-193.0969798248991
95,-57.201235313569796
96,-113.23051064822411
97,-312.9728871029376
98,-174.94877180221346
99,-235.83463678642534
100,-12.34454691329286
101,-77.70904647612623
102,-108.0864938171908
103,-83.87059264057393
104,-67.03794524238515
105,-150.05827372884428
106,-86.62536085259373
107,-170.26930878423127
108,-128.38922913773303
109,-95.88440686984407
110,-165.51492820733853
111,-152.63537888012348
112,-128.20059098177794
113,-87.16751923090382
114,-166.67680117724845
115,-53.1937252902793
116,-60.33652344477223
117,-65.56177989643211
118,-69.34253811379608
119,-108.7644353030884
120,-80.11910133540192
121,-42.346733952800676
122,-101.08218245158756
123,-190.7174262246447
124,-65.93243763690835
125,-157.4518551970535
126,-156.60965119897156
127,-120.18428280606496
128,-236.82754860138266
129,-265.94629299570045
130,-63.873296839097335
131,-205.0282251626769
132,-130.36035629673773
133,-125.01841163503428
134,-150.86237227688105
135,-330.9979290318305
136,-77.62621421558805
137,-23.17772230113586
138,-116.02172300581518
139,-112.82345353333963
140,-106.75316320272881
141,-53.97954611832138
142,-103.22293974667015
143,44.542910769470424
144,-82.1621388265466
145,-88.18324607899083
146,-143.9739846178657
147,-155.89509341264585
148,-111.66085650780387
149,-118.79149888654419
150,-87.39139054142612
151,-191.59308076223635
152,-61.22914534003595
153,-85.2451578425714
154,-350.4101788902553
155,-137.53711278146076
156,-68.78752523740046
157,-67.33730837929312
158,24.79372147795928
159,-110.92413601163832
160,-218.95767277523095
161,-266.57221415547224
162,-58.81528170717637
163,-23.71744278555336
164,-67.61577058900983
165,-43.2303142704075
166,-75.84091198942612
167,-62.327479385826
168,-158.79836005255268
169,-54.577576075793
170,-101.42431325549398
171,-87.06978021307587
172,-13.504418948535886
173,-28.804203767467655
174,-26.502362500953126
175,-217.08284315707357
176,-13.530313208896189
177,-118.82006888505595
178,-226.64597641955376
179,-54.78495285744442
180,-43.8499684617527
181,-163.55733740552458
182,-110.0994317232408
183,-132.41059533654465
184,-59.65609378895363
185,23.852243425325184
186,-139.75482511526573
187,-83.36036034237328
188,-232.6179158400787
189,-157.38051908158056
190,-56.997318971714336
191,-36.182890423984574
192,-56.77565483400956
193,-54.622327195712515
194,-31.61287530500286
195,-77.08604085159538
196,-118.95453796888089
197,-47.16306932309088
198,-3.4335487148158137
199,-41.71483621263865
200,-108.01240396484043
201,-113.20519081890706
202,-107.28794748703355
203,-73.29487266944186
204,-18.654779789679424
205,1.6094219099310152
206,-83.7589983815716
207,-78.41128957937013
208,-109.36417710598445
209,-75.98744389978607
210,-54.82682196879828
211,-80.40863711381664
212,-45.89867571376128
213,-86.03178059344586
214,-33.02667556206903
215,-53.879978751988865
216,22.90688137210222
217,-66.12592310680637
218,-29.833708748915512
219,-22.526082361099768
220,-200.29576472370562
221,0.5144093149588969
222,-47.925017550269516
223,-116.13621455143317
224,-88.03600634933677
